pair_id,scopus_id,CiteScore,academic_citations(adjusted),max_h_index,collaboration_global_south,collaboration_withGovt_authors,media_mentions,cited_in_policy,team_past_policy_impact,doi
901943132189,85125738149,6.2,0,9.0,0,0,0.0,1,20,10.1086/716727
481036337209,85077875542,7.0,9,93.0,1,1,0.0,1,66,10.1080/01431161.2019.1707903
549755813897,85071232447,2.9,17,7.0,0,0,0.0,1,0,10.32479/ijeep.8045
901943132223,85015980320,25.5,12,10.0,0,0,0.0,1,5,10.1016/j.rser.2017.03.085
85899345924,85096826616,17.6,25,27.0,0,0,0.0,1,16,10.1111/nph.17036
481036337175,85087430672,12.1,20,56.0,1,0,0.0,1,38,10.1177/0022034520940288
901943132183,85029676174,3.5,30,20.0,0,0,5.0,1,22,10.1680/jensu.15.00029
85899345988,84951335306,8.1,11,6.0,0,0,0.0,1,9,10.1016/j.resconrec.2015.11.007
549755813915,84944587098,8.1,25,28.0,1,0,0.0,1,32,10.1007/s10113-015-0868-0
901943132162,85044734033,9.5,9,21.0,0,0,1.0,1,63,10.1111/1365-2664.13080
901943132174,85063795963,30.7,21,133.0,0,0,82.0,1,521,10.1038/s41893-019-0261-y
901943132227,85091742793,11.8,1,12.0,0,1,2.0,1,31,10.1016/j.erss.2020.101774
429496729667,84961828387,9.4,48,70.0,0,0,3.0,1,40,10.1111/1365-2745.12566
103079215172,85087422747,8.2,44,42.0,0,1,1.0,1,164,10.1016/j.wace.2020.100269
1099511627838,85086921431,4.0,4,10.0,1,0,0.0,1,29,10.1016/j.heliyon.2020.e04335
1099511627838,85086921431,4.0,4,10.0,1,0,0.0,1,29,10.1016/j.heliyon.2020.e04335
1082331758654,85086921431,4.0,4,10.0,1,0,0.0,1,29,10.1016/j.heliyon.2020.e04335
1082331758654,85086921431,4.0,4,10.0,1,0,0.0,1,29,10.1016/j.heliyon.2020.e04335
1099511627846,85107366208,2.6,0,47.0,0,1,0.0,1,224,10.1088/2515-7620/abbb39
85899345974,85030652018,3.3,0,18.0,0,1,3.0,1,78,10.15447/sfews.2017v15iss3art1
429496729672,85063750064,5.5,1,10.0,0,0,1.0,1,28,10.1016/j.jeem.2019.03.005
549755813944,85090208645,7.9,10,9.0,1,0,0.0,1,4,10.1016/j.gsd.2020.100449
77309411333,85092742634,4.8,1,71.0,0,1,0.0,1,195,10.3390/w12102757
1099511627803,85079599742,5.8,10,14.0,0,0,0.0,1,5,10.3390/su12020712
1022202216465,85100979205,10.4,7,14.0,0,0,0.0,1,5,10.1016/j.geoderma.2021.114951
901943132180,85038879955,18.5,136,116.0,0,0,0.0,1,330,10.1016/j.jclepro.2017.10.175
77309411335,85121242787,2.2,9,12.0,0,0,0.0,1,8,10.1093/jel/eqab019
77309411348,85076237782,15.6,18,61.0,1,0,0.0,1,59,10.1016/j.scitotenv.2019.134633
77309411395,85092400844,17.9,4,53.0,0,1,0.0,1,97,10.1111/gcb.15334
77309411395,85092400844,17.9,4,53.0,0,1,0.0,1,97,10.1111/gcb.15334
549755813936,85092400844,17.9,4,53.0,0,1,0.0,1,97,10.1111/gcb.15334
549755813936,85092400844,17.9,4,53.0,0,1,0.0,1,97,10.1111/gcb.15334
1099511627807,84960416547,8.8,20,29.0,0,1,0.0,1,109,10.5194/esd-7-183-2016
103079215139,85055971522,11.0,9,81.0,0,0,0.0,1,140,10.1016/j.soilbio.2018.08.014
85899345965,85119090359,5.3,20,6.0,0,0,0.0,1,2,10.3390/en14217412
429496729604,84930606665,4.5,10,16.0,0,0,0.0,1,20,10.1016/j.forpol.2015.06.001
429496729604,84930606665,4.5,10,16.0,0,0,0.0,1,20,10.1016/j.forpol.2015.06.001
369367187485,84930606665,4.5,10,16.0,0,0,0.0,1,20,10.1016/j.forpol.2015.06.001
369367187485,84930606665,4.5,10,16.0,0,0,0.0,1,20,10.1016/j.forpol.2015.06.001
103079215152,85039071992,6.5,5,14.0,0,0,0.0,1,13,10.1007/s11111-017-0289-8
77309411401,85109735073,19.0,7,30.0,0,0,0.0,1,108,10.1111/gcb.15756
85899345921,85111925531,3.0,2,21.0,0,1,0.0,1,20,10.3389/feart.2021.650662
429496729615,84975105762,8.0,41,66.0,0,1,0.0,1,178,10.3389/fpls.2016.00751
